id,status ,arrival_at,cost,overhead_cost,discount,acquisition_costs
176758,Lending,2025-03-03,0,NULL,NULL,0
176759,Lending,2025-03-03,0,NULL,NULL,0
176760,Lending,2025-03-03,0,NULL,NULL,0
176761,Lending,2025-03-03,0,NULL,NULL,0
176762,Recovery,2025-03-03,0,NULL,NULL,0
176763,LendingToB,2025-03-03,0,NULL,NULL,0
176764,Lending,2025-03-03,26000,NULL,NULL,26000
176765,Ready,2025-03-03,26000,NULL,NULL,26000
176766,Lending,2025-03-03,50000,NULL,NULL,50000
176767,Lending,2025-03-03,50000,NULL,NULL,50000
176768,Lending,2025-03-03,50000,NULL,NULL,50000
176769,Lending,2025-03-03,0,NULL,NULL,0
176770,Lending,2025-03-03,0,NULL,NULL,0
176771,Lending,2025-03-03,0,NULL,NULL,0
176772,LendingToB,2025-03-05,54095,NULL,NULL,54095
176773,LendingToB,2025-03-05,54095,NULL,NULL,54095
176774,LendingToB,2025-03-05,2465,NULL,NULL,2465
176775,LendingToB,2025-03-05,2465,NULL,NULL,2465
176776,Lending,2025-03-03,15500,NULL,NULL,15500
176777,Lending,2025-03-03,15500,NULL,NULL,15500
176778,Lending,2025-03-03,15500,NULL,NULL,15500
176779,Lending,2025-03-03,15645,NULL,NULL,15645
176780,Lending,2025-03-03,15645,NULL,NULL,15645
176781,Lending,2025-03-03,0,NULL,NULL,0
176782,Lending,2025-03-03,0,NULL,NULL,0
176783,Lending,2025-03-05,10175,NULL,NULL,10175
176784,Ready,2025-03-05,10175,NULL,NULL,10175
176785,Ready,2025-03-05,10175,NULL,NULL,10175
176786,Lending,2025-03-05,10175,NULL,NULL,10175
176787,Ready,2025-03-05,10175,NULL,NULL,10175
176788,Lending,2025-03-05,10175,NULL,NULL,10175
176789,Ready,2025-03-05,10175,NULL,NULL,10175
176790,Lending,2025-03-05,10175,NULL,NULL,10175
176791,LendingToB,2025-03-05,10175,NULL,NULL,10175
176792,Ready,2025-03-05,10175,NULL,NULL,10175
176793,LendingToB,2025-03-07,46000,NULL,NULL,46000
176794,LendingToB,2025-03-07,46000,NULL,NULL,46000
176795,LendingToB,2025-03-07,46000,NULL,NULL,46000
177069,Ready,2025-03-07,115932,NULL,NULL,115932
177070,Recovery,2025-03-07,115932,NULL,NULL,115932
177071,LendingToB,2025-03-07,115932,NULL,NULL,115932
177084,LendingToB,2025-03-07,7875,NULL,NULL,7875
177086,LendingToB,2025-03-03,14050,NULL,NULL,14050
177087,LendingToB,2025-03-03,36100,NULL,NULL,36100
177088,LendingToB,2025-03-03,47850,NULL,NULL,47850
177089,LendingToB,2025-03-03,0,NULL,NULL,0
177090,LendingToB,2025-03-03,0,NULL,NULL,0
177091,LendingToB,2025-03-03,0,NULL,NULL,0
177092,Ready,2025-03-03,0,NULL,NULL,0
177093,LendingToB,2025-03-03,0,NULL,NULL,0
177094,Impossibility,2025-03-03,0,NULL,NULL,0
177095,Ready,2025-03-03,28330,NULL,NULL,28330
177096,Impossibility,2025-03-03,28330,NULL,NULL,28330
177097,LendingToB,2025-03-03,37363,NULL,NULL,37363
177098,LendingToB,2025-03-03,26237,NULL,NULL,26237
177099,LendingToB,2025-03-03,35000,NULL,NULL,35000
177100,LendingToB,2025-03-03,63000,NULL,NULL,63000
177101,LendingToB,2025-03-03,112000,NULL,NULL,112000
177102,LendingToB,2025-03-03,112000,NULL,NULL,112000
177103,LendingToB,2025-03-03,45500,NULL,NULL,45500
177104,Recovery,2025-03-03,21000,NULL,NULL,21000
177105,LendingToB,2025-03-03,41300,NULL,NULL,41300
177106,LendingToB,2025-03-03,29820,NULL,NULL,29820
177107,Ready,2025-03-03,53163,NULL,NULL,53163
177108,LendingToB,2025-03-03,55351,NULL,NULL,55351
177109,LendingToB,2025-03-03,44533,NULL,NULL,44533
177110,LendingToB,2025-03-03,27042,NULL,NULL,27042
177111,LendingToB,2025-03-03,76250,NULL,NULL,76250
177112,LendingToB,2025-03-03,38100,NULL,NULL,38100
177113,LendingToB,2025-03-03,38100,NULL,NULL,38100
177114,LendingToB,2025-03-03,16230,NULL,NULL,16230
177115,LendingToB,2025-03-03,83589,NULL,NULL,83589
177116,LendingToB,2025-03-03,0,NULL,NULL,0
177117,LendingToB,2025-03-03,20371,NULL,NULL,20371
177118,LendingToB,2025-03-03,20370,NULL,NULL,20370
177119,LendingToB,2025-03-03,20370,NULL,NULL,20370
177120,LendingToB,2025-03-03,20370,NULL,NULL,20370
